,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,p01,p02_1,p02_2,p02_3,p03_1,p03_2,p03_3,p03_4,p04,p05,p06,p06otros,p06cod,p07_1,p07_2,p07_3,p08,p09,p10,p11,p12,PONDERADOR,PERCENTAGE,periodo
0,0,0,0,155835988,NSE D,NSE D,NSE D/E,33,De 25 a 39 años,SI,Mujer,22,Moyobamba,220105,Selva,8,2,-1,-1,3,1,Perú urbano,1,Superior universitaria incompleta,Educacion superior,Aprueba,Desaprueba,Aprueba,Desaprueba,Mucho,Algo,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Igual,Mejor,Atenta contra la libertad de prensa,Centro,0.8697,0.07123224077529378,AGOSTO 2021
1,1,1,1,155836161,NSE E,NSE E,NSE D/E,27,De 25 a 39 años,SI,Mujer,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico incompleta,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Mucho,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,0.65,0.053237848113074575,AGOSTO 2021
2,2,2,2,155836570,NSE C1,NSE C,NSE C,30,De 25 a 39 años,SI,Mujer,6,Cajamarca,60101,Norte,5,2,-1,-1,2,1,Perú urbano,1,Superior técnico completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Nada,Poco,No debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,0.8697,0.07123224077529378,AGOSTO 2021
3,3,3,3,155836674,NSE B2,NSE B,NSE A/B,54,De 40 a más años,SI,Mujer,15,Lima,150140,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,Desaprueba,Desaprueba,Desaprueba,Aprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,0.7346,0.060166958805945504,AGOSTO 2021
4,4,4,4,155836698,NSE E,NSE E,NSE D/E,19,De 18 a 24 años,SI,Mujer,8,Quispicanchi,81206,Sur,7,2,-1,-1,2,4,Perú rural,2,Superior técnico incompleta,Educacion superior,Aprueba,Desaprueba,Desaprueba,Desaprueba,Mucho,Poco,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Confianza, ,-1,Algo,Poco,Poco,No tiene influencia,Mejor,Mejor,No atenta contra la libertad de prensa,Centro,1.2933,0.10592693686867591,AGOSTO 2021
5,5,5,5,155836943,NSE C2,NSE C,NSE C,43,De 40 a más años,SI,Mujer,15,Lima,150108,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,NS/NP,Desaprueba,99,NS/NP,Nada,Poco,Poco,Poco,No debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,1.4934,0.12231600364933165,AGOSTO 2021
6,6,6,6,155837008,NSE B1,NSE B,NSE A/B,27,De 25 a 39 años,SI,Hombre,14,Chiclayo,140106,Norte,2,2,-1,-1,1,1,Perú urbano,1,Superior técnico completa,Educacion superior,NS/NP,99,Desaprueba,Aprueba,Poco,Algo,Mucho,Mucho,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Igual,Igual,No atenta contra la libertad de prensa,Derecha,0.8974,0.07350099214872788,AGOSTO 2021
7,7,7,7,155837242,NSE B1,NSE B,NSE A/B,46,De 40 a más años,SI,Hombre,15,Lima,150115,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Superior universitaria incompleta,Educacion superior,Desaprueba,99,Aprueba,Aprueba,Poco,Algo,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Poco,Nada,Tiene algo de influencia,Igual,Mejor,Atenta contra la libertad de prensa,Izquierda,0.7579,0.06207533089984495,AGOSTO 2021
8,8,8,8,155837360,NSE E,NSE E,NSE D/E,28,De 25 a 39 años,SI,Hombre,8,Paucartambo,81105,Sur,7,2,-1,-1,2,4,Perú rural,2,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,NS/NP,Aprueba,99,Desaprueba,Nada,Mucho,Mucho,Mucho,No debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,1.3258,0.10858882927432965,AGOSTO 2021
9,9,9,9,155837477,NSE D,NSE D,NSE D/E,19,De 18 a 24 años,SI,Hombre,20,Morropón,200401,Norte,2,2,-1,-1,1,3,Perú urbano,1,Secundaria completa,Educacion Basica,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Algo,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Igual,Peor,Atenta contra la libertad de prensa,Izquierda,0.9032,0.07397603756265993,AGOSTO 2021
10,10,10,10,155837854,NSE D,NSE D,NSE D/E,46,De 40 a más años,SI,Mujer,15,Lima,150143,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Poco,Poco,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Igual,Peor,Atenta contra la libertad de prensa,Derecha,1.3423,0.10994025157258461,AGOSTO 2021
11,11,11,11,155838081,NSE B2,NSE B,NSE A/B,33,De 25 a 39 años,SI,Hombre,9,Huancavelica,90101,Centro,6,2,-1,-1,2,1,Perú urbano,1,Superior universitaria incompleta,Educacion superior,NS/NP,Desaprueba,Desaprueba,Desaprueba,Algo,Algo,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Igual,Igual,No atenta contra la libertad de prensa,Centro,0.8974,0.07350099214872788,AGOSTO 2021
12,12,12,12,155838192,NSE C2,NSE C,NSE C,20,De 18 a 24 años,SI,Mujer,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Aprueba,Desaprueba,Desaprueba,Desaprueba,Poco,Mucho,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Poco,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,1.4703,0.12042401243177467,AGOSTO 2021
13,13,13,13,155838231,NSE E,NSE E,NSE D/E,32,De 25 a 39 años,SI,Hombre,20,Piura,200109,Norte,2,2,-1,-1,1,2,Perú urbano,1,Secundaria completa,Educacion Basica,Aprueba,Desaprueba,Aprueba,Desaprueba,Mucho,Algo,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie todo el gabinete,Esperanza, ,-1,Nada,Poco,Nada,Tiene algo de influencia,Igual,Mejor,Atenta contra la libertad de prensa,Derecha,0.8974,0.07350099214872788,AGOSTO 2021
14,14,14,14,155838461,NSE C1,NSE C,NSE C,40,De 40 a más años,SI,Hombre,12,Satipo,120606,Selva,8,2,-1,-1,3,1,Perú urbano,1,Superior técnico completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Nada,Nada,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Miedo, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,0.9174,0.07513907978297632,AGOSTO 2021
15,15,15,15,155838649,NSE B1,NSE B,NSE A/B,40,De 40 a más años,SI,Hombre,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,NS/NP,Aprueba,Aprueba,Desaprueba,Mucho,Algo,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Igual,Igual,No atenta contra la libertad de prensa,Derecha,0.7579,0.06207533089984495,AGOSTO 2021
16,16,16,16,155838658,NSE D,NSE D,NSE D/E,20,De 18 a 24 años,SI,Mujer,20,Paita,200501,Norte,2,2,-1,-1,1,3,Perú urbano,1,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,Aprueba,Aprueba,Desaprueba,Aprueba,Poco,Algo,Poco,Nada,No debe dar el voto de confianza,Que se cambie a algunos ministros,Miedo, ,-1,Nada,Poco,Nada,Tiene mucha influencia,Peor,Igual,Atenta contra la libertad de prensa,Centro,0.8754,0.07169909575105458,AGOSTO 2021
17,17,17,17,155839109,NSE E,NSE E,NSE D/E,25,De 25 a 39 años,SI,Mujer,20,Sullana,200604,Norte,2,2,-1,-1,1,4,Perú rural,2,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,Aprueba,Desaprueba,Desaprueba,Aprueba,Poco,Poco,Poco,Poco,No debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Poco,Nada,Nada,Tiene mucha influencia,Igual,Igual,Atenta contra la libertad de prensa,Izquierda,1.2849,0.10523894006229156,AGOSTO 2021
18,18,18,18,155839126,NSE B2,NSE B,NSE A/B,48,De 40 a más años,SI,Hombre,10,Huánuco,100102,Centro,6,2,-1,-1,2,1,Perú urbano,1,Superior universitaria completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Algo,Algo,Algo,Algo,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Poco,Poco,Poco,Tiene mucha influencia,Igual,Igual,Atenta contra la libertad de prensa,Centro,0.9174,0.07513907978297632,AGOSTO 2021
19,19,19,19,155839397,NSE B2,NSE B,NSE A/B,22,De 18 a 24 años,SI,Mujer,15,Lima,150106,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Poco,Algo,Poco,Poco,No debe dar el voto de confianza,NS/NP,Desilusión, ,-1,Nada,Nada,Poco,Tiene poca influencia,Peor,Igual,Atenta contra la libertad de prensa,Centro,0.7232,0.05923324885442389,AGOSTO 2021
20,20,20,20,155839409,NSE B1,NSE B,NSE A/B,43,De 40 a más años,SI,Hombre,15,Lima,150101,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,NS/NP,99,99,Desaprueba,Poco,Mucho,Poco,Poco,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Poco,Poco,Poco,Tiene poca influencia,NS/NP,Igual,No atenta contra la libertad de prensa,Centro,0.7579,0.06207533089984495,AGOSTO 2021
