,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,ocupa,ocupa2,p01,p02,p02otros,p02cod,p03,p03otros,p03cod,p04,p05_1,p05_2,p05_3,p06,p07,p08,p13,p14,p15,p16,p17,p18,p21,m1,rolhogar,rolhogar2,D12,seguro2_1,seguro2_2,seguro2_3,seguro2_4,jubila,emitedoc_1,emitedoc_2,emitedoc_3,emitedoc_4,emitedoc_5,emitedoc_6,emitedoc_99,TIPOTRAB,Identificacion_ideológica,PONDERADOR,PERCENTAGE,periodo
0,0,0,0,0,0,0,159128296,NSE C1,NSE C,NSE C,73,De 40 a más años,SI,Hombre,15,Lima,150135,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Jubilado,No trabaja,Aprueba,Que se preocupa por los que menos tienen, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Igual,Mejor,Izquierda,Aprueba,1,1,1,1,1,2,2,1, , , , , , , ,-1,Izquierda,1.1234,0.09178501260389439,OCTUBRE 2021
1,1,1,1,1,1,1,159129509,NSE B2,NSE B,NSE A/B,34,De 25 a 39 años,SI,Mujer,15,Lima,150134,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,Que una persona humilde sea Presidente del Perú, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Aprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Peor,Igual,Regular,Peor,Igual,Derecha,Aprueba,1,1,2,-1,-1,-1,-1,2,0,0,0,1,0,0,0,2,Derecha,0.8316,0.06794411294409701,OCTUBRE 2021
2,2,2,2,2,2,2,159129968,NSE E,NSE E,NSE D/E,44,De 40 a más años,SI,Mujer,8,Urubamba,81306,Sur,7,2,-1,-1,2,4,Peru rural,2,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,99,Tener una nueva Constitución, ,-1,El manejo de la economía del país, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Igual,Peor,Mala,Mejor,Mejor,Centro,-1,1,1,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Centro,1.0974,0.08966073778842239,OCTUBRE 2021
3,3,3,3,3,3,3,159130629,NSE E,NSE E,NSE D/E,82,De 40 a más años,SI,Mujer,20,Paita,200504,Norte,2,2,-1,-1,1,2,Peru urbano,1,Sin educacion/Educacion Inicial,Educacion Basica,Ama de casa,No trabaja,Aprueba,Que se preocupa por los que menos tienen, ,-1,NS/NP, ,-1,No tiene,Desaprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Peor,Peor,Regular,Peor,Peor,Derecha,-1,1,1,1,2,1,2,2,3, , , , , , , ,-1,Derecha,0.9847,0.0804528234921264,OCTUBRE 2021
4,4,4,4,4,4,4,159130971,NSE E,NSE E,NSE D/E,67,De 40 a más años,SI,Mujer,20,Sullana,200601,Norte,2,2,-1,-1,1,5,Peru rural,2,Primaria incompleta,Educacion Basica,Trabajador independiente con empleados,Trabajador independiente,Desaprueba,No tiene nada positivo, ,-1,Su falta de liderazgo o capacidad para gobernar,SE DEJA MANIPULAR POR OTRAS PERSONAS,2,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Muy mala,Peor,Peor,Regular,Peor,Peor,Derecha,-1,1,1,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Derecha,1.0974,0.08966073778842239,OCTUBRE 2021
5,5,5,5,5,5,5,159131755,NSE B2,NSE B,NSE A/B,49,De 40 a más años,SI,Hombre,15,Lima,150131,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Posgrado universitario,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,Que se preocupa por los que menos tienen, ,-1,Que quiera hacer una Asamblea Constituyente, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Mala,Peor,Peor,Regular,Igual,Peor,Centro,Aprueba,1,1,1,2,1,2,1,3,0,0,0,1,0,0,0,2,Centro,0.9614,0.07854914644595343,OCTUBRE 2021
6,6,6,6,6,6,6,159132596,NSE E,NSE E,NSE D/E,60,De 40 a más años,SI,Mujer,19,Daniel Alcides Carrión,190201,Centro,6,2,-1,-1,2,1,Peru urbano,1,Secundaria completa,Educacion Basica,Empleado del hogar,Trabajador independiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,El manejo de la economía del país, ,-1,No tiene,Desaprueba,Desaprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Peor,Mejor,Muy mala,Peor,Mejor,Centro,-1,2,2,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Centro,0.9847,0.0804528234921264,OCTUBRE 2021
7,7,7,7,7,7,7,159132698,NSE C2,NSE C,NSE C,45,De 40 a más años,SI,Mujer,15,Huaral,150605,Centro,3,2,-1,-1,1,3,Peru urbano,1,Secundaria completa,Educacion Basica,Ama de casa,No trabaja,Desaprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Desaprueba,Desaprueba,En desacuerdo,Aprueba,NS/NP,Mala,Peor,Peor,Muy mala,Peor,Mejor,Derecha,-1,2,2,1,2,1,2,2,3, , , , , , , ,-1,Derecha,0.9847,0.0804528234921264,OCTUBRE 2021
8,8,8,8,8,8,8,159132805,NSE C1,NSE C,NSE C,45,De 40 a más años,SI,Hombre,13,Ascope,130206,Norte,2,2,-1,-1,1,1,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Aprueba,Aprueba,Desaprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Peor,Peor,Regular,Peor,Peor,Derecha,-1,1,1,1,1,2,1,2,2,0,0,1,0,0,0,0,1,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
9,9,9,9,9,9,9,159132871,NSE D,NSE D,NSE D/E,61,De 40 a más años,SI,Hombre,15,Cañete,150507,Centro,3,2,-1,-1,1,2,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,Que hará cambios en la economía, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Aprueba,Desaprueba,De acuerdo,Desaprueba,No debe dar el voto de confianza,Regular,Peor,Peor,Regular,Peor,Mejor,Centro,-1,4,3,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,1.0231,0.08359021398882352,OCTUBRE 2021
